"Yazar", "Alıntı"
"Hannah Senesh", "İnsanın inanacak bir şeye ihtiyacı vardır, uğruna tüm kalbiyle coşku duyabileceği bir şeye. İnsanın hayatının bir anlamı olduğunu, bu dünyada kendisine ihtiyaç duyulduğunu hissetmesi gerekir."
"Lao Tzu", "Kendi görüşlerinde çok ısrarcı olan kişi, kendisiyle aynı fikirde olan çok az kişi bulur."
"Harry Burchell Mathews", "Çeviri paradigmadır, tüm yazıların örneğidir. Konuşmayı içeren her eylemin altında yatan dönüşüm özlemini, o yüce insani armağanı en canlı şekilde gösteren şey çeviridir."
"Voltaire", "Meditasyon, düşüncelerin ebedi farkındalıkta ya da nesneleştirmeden saf bilinçte çözülmesidir, düşünmeden bilmektir, sonluluğu sonsuzlukta birleştirmektir."
"George Shaw", "Makul insan kendini dünyaya uydurur; mantıksız insan ise dünyayı kendine uydurmaya çalışmakta ısrar eder. Bu nedenle, tüm ilerleme mantıksız insana bağlıdır."
"Michael Burke", "İyi içgüdüler genellikle ne yapmanız gerektiğini, kafanız bunu anlamadan çok önce size söyler."
"Pema Chodron", "Acı çekmemize neden olan şey başımıza gelenler değil; başımıza gelenler hakkında kendimize söylediklerimizdir."
"Edgar Allan Poe", "Gündüz rüya görenler, sadece gece rüya görenlerden kaçan birçok şeyin farkındadırlar."
"Ben Sweetland", "Kendi yolumuzu aydınlatmadan başkasının yolunu aydınlatmak için bir meşale tutamayız."
"Richard Bach", "Size bir dileği gerçekleştirme gücü verilmeden o dilek asla gerçekleşmez. Ancak bunun için çalışmanız gerekebilir."
"Rahibe Teresa", "Nazik sözler kısa ve kolay söylenebilir, ancak yankıları gerçekten sonsuzdur."
"", "Kederleriniz yerine sevinçlerinizi sayın. Düşmanlarınız yerine dostlarınızı sayın."
"John Updike", "Hayaller gerçek olur. Bu olasılık olmasaydı, doğa bizi onlara sahip olmaya teşvik etmezdi."
"Byron Pulsifer", "Tek bir yerde kalmak, birçokları tarafından ele geçirilmek ve aşılmak için en iyi yoldur."
"Carl Sagan", "Hayal gücü bizi çoğu zaman hiç var olmamış dünyalara taşır. Ama onsuz hiçbir yere gidemeyiz."
"Helen Keller", "Bir mutluluk kapısı kapandığında, diğeri açılır; ama çoğu zaman kapalı kapıya o kadar uzun süre bakarız ki, bizim için açılmış olanı görmeyiz."
"Jawaharlal Nehru", "Bir lider ya da eylem adamı kriz anında neredeyse her zaman bilinçaltıyla hareket eder ve sonra eyleminin nedenlerini düşünür."
"Albert Einstein", "Benim özel bir yeteneğim yok. Sadece tutkulu bir merakım var."
"Elizabeth Montagu", "Neşeli olamadığım zamanlarda bilge, mutlu olamadığım zamanlarda rahat, onarılamayan şeylerden memnun ve telafisi olmayan durumlarda sabırlı olmaya çalışırım."
"William Scolavino", "Başarılarınızın yüksekliği, inançlarınızın derinliğine eşit olacaktır."
"Haham Hillel", "Eğer ben kendim için olmazsam, kim benim için olacak? Başkaları için değilsem, neyim ben? Şimdi değilsem, ne zaman?"
"Audre Lorde", "Güçlü olmaya, gücümü vizyonumun hizmetinde kullanmaya cesaret ettiğimde, korkup korkmadığım giderek daha az önemli hale gelir."
"Alexis Carrel", "Bütün büyük adamlar sezgi yeteneğine sahiptir. Neyi bilmeleri gerektiğini akıl yürütmeden ya da analiz etmeden bilirler."
"Mark Twain", "Sevincin tam değerini elde etmek için onu paylaşacak birine sahip olmalısınız."
"Johann Wolfgang von Goethe", "Bazen kaderimiz kış mevsimindeki bir meyve ağacına benzer. O dalların yeniden yeşereceğini ve çiçek açacağını kim düşünebilir ki, ama biz bunu umuyoruz, bunu biliyoruz."
"Leo Tolstoy", "Kaybettik çünkü kendimize kaybettiğimizi söyledik."
"James Pence", "Başarı, imkansızı mümkün kılanlar tarafından belirlenir."
"Agatha Christie", "İyi bir tavsiyenin her zaman göz ardı edileceği kesindir, ama bu onu vermemek için bir neden değildir."
"Dale Earnhardt", "Kazanan en hızlı arabaya sahip olan değil, kaybetmeyi reddeden kişidir."
"Robert C. Solomon", "Maneviyat hem kısır mezhepçilikten hem de düşüncesiz bayağılıklardan koparılabilir. Gördüğüm kadarıyla maneviyat, yaşamın düşünceli bir şekilde sevilmesinden başka bir şey değildir."
"Sam Rayburn", "Hiç kimse çenesini kapalı tutan bir insandan daha iyi bir dil hakimiyetine sahip değildir."
"Denis Waitley", "Hiç hata yapmayan tek kişi, hiç bir şey yapmayan kişidir."
"John Lennon", "Hayat, siz başka planlar yapmakla meşgulken başınıza gelenlerdir."
"Jonathan Swift", "Keşif, herkesin gördüğünü görmek ve kimsenin düşünmediğini düşünmekten ibarettir."
"Margaret Fuller", "Eğer bilginiz varsa, bırakın başkaları da mumlarını yaksın."
"Epictetus", "Bir insanın zaten bildiğini düşündüğü şeyi öğrenmesi imkansızdır."
"Will Rogers", "Eğer kendinizi bir çukurda bulursanız, ilk yapmanız gereken şey kazmayı bırakmaktır."
"Plutarch", "Hiç hata yapmamak insanın elinde değildir; ama bilge ve iyi insanlar hatalarından ve yanlışlarından gelecek için bilgelik öğrenirler."
"Lee Womack", "Bence başka bir şeyi kopyalayarak orta derecede başarı elde edebilirsiniz, ancak gerçekten parkın dışına çıkmak istiyorsanız, farklı bir şey yapmalı ve risk almalısınız."
"Marcus Aurelius", "Duyduğumuz her şey bir fikirdir, gerçek değil. Gördüğümüz her şey bir bakış açısıdır, gerçek değil."
"William Menninger", "Başarının anahtarı olan altı temel nitelik: Samimiyet, kişisel bütünlük, alçakgönüllülük, nezaket, bilgelik, hayırseverlik."
"Lucille Ball", "Benim için işe yarayan günlük bir dinim var. Önce kendini sev, sonra her şey sıraya girer."
"Chuang Tzu", "Her ne oluyorsa onunla birlikte akın ve zihninizi özgür bırakın. Her ne yapıyorsanız kabul ederek merkezde kalın. Bu nihai noktadır."
"Jane Addams", "İnsanın çok erken pes ettiği ve dünyayı kurtarabilecek bir çabayı yarım bıraktığı korkusundan daha kötü bir şey olamaz."
"Aristo", "Zihnin enerjisi hayatın özüdür."
"Horace", "Başla, cesur ol ve bilge olmaya cesaret et."
"Lao Tzu", "Bir adama bir balık verin ve onu bir gün boyunca besleyin. Ona balık tutmayı öğretirseniz, onu bir ömür boyu beslersiniz."
"Francis Bacon", "Akıllı bir adam bulduğu fırsatlardan daha fazlasını yaratır."
"Eddie Cantor", "Yavaşla ve hayatın tadını çıkar. Çok hızlı giderek sadece manzarayı kaçırmazsınız, aynı zamanda nereye ve neden gittiğinizi de kaçırırsınız."
"Wayne Dyer", "Mucizeler anlık gelir. Hazır ve istekli olun."
"Sophokles", "Dünyanın harikaları sayısızdır, ama hiçbiri insandan daha harika değildir."
"Ralph Emerson", "Neşe ya da iyi huy da böyledir, ne kadar çok harcanırsa o kadar çok kalır."
"Francoise de Motteville", "Kendimizi mutlu etmenin gerçek yolu işimizi sevmek ve ondan zevk almaktır."
"Wayne Dyer", "Bir başkasını yargıladığınızda, onu değil, kendinizi tanımlamış olursunuz."
"Richard Bach", "Sınırlarınız için tartışırsanız, emin olun onlar sizindir."
"Konfüçyüs", "Başkalarının iyiliğini isteyen kişi, kendi iyiliğini zaten güvence altına almıştır."
"Platon", "Bilgeler söyleyecek bir şeyleri olduğu için konuşurlar; aptallar ise bir şey söylemek zorunda oldukları için."
"Konfüçyüs", "Hayat gerçekten basittir, ama biz onu karmaşık hale getirmekte ısrar ediyoruz."
"Jim Bishop", "Gelecek opak bir aynadır. Ona bakmaya çalışan herkes yaşlı ve endişeli bir yüzün soluk hatlarından başka bir şey göremez."
"Carl Jung", "Başkaları hakkında bizi rahatsız eden her şey, kendimizi daha iyi anlamamızı sağlayabilir."
"", "Yarım gerçeklere dikkat edin. Yanlış yarısını ele geçirmiş olabilirsiniz."
"Elbert Hubbard", "Hayatta yapabileceğiniz en büyük hata, sürekli olarak bir hata yapmaktan korkmaktır."
"Calvin Coolidge", "Söylemediğim bir şey yüzünden hiç incinmedim."
"Thomas Kempis", "Başkalarını olmasını istediğiniz gibi yapamadığınız için kızmayın, çünkü kendinizi olmak istediğiniz gibi yapamazsınız."
"William Ward", "Zorluklar bazı insanların kırılmasına, bazılarının ise rekor kırmasına neden olur."
"Thomas Fuller", "Yenilmez bir kararlılık neredeyse her şeyi başarabilir ve büyük adamlarla küçük adamlar arasındaki büyük fark da burada yatar."
"Abernathy", "Endüstriyel manzara, stratejik vizyonlarını değişen rekabet koşullarına uyarlayamayan bir zamanların başarılı şirketlerinin kalıntılarıyla doludur."
"Christian Bovee", "Örneklerin mantıktan daha çok takipçisi vardır."
"Epictetus", "Üstün olmak isteyen kişi, kendi içinde en mükemmel olan şeylerde çaba göstermelidir."
"Mary Pickford", "Eğer hata yaptıysanız, sizin için her zaman başka bir şans vardır. İstediğiniz her an yeni bir başlangıç yapabilirsiniz."
"Robert Pirsig", "Dağların tepelerinde bulabileceğiniz tek Zen, oraya getirdiğiniz Zen'dir."
"Doris Day", "Minnettarlık zenginliktir. Şikâyet ise fakirliktir."
"Richard Needham", "Güçlü insanlar da zayıf insanlar kadar çok hata yapar. Aradaki fark, güçlü insanların hatalarını kabul etmesi, onlara gülmesi ve onlardan ders çıkarmasıdır. Bu şekilde güçlü olurlar."
"Byron Pulsifer", "Amacınızı bilmek, istikameti olan bir hayat yaşamaktır ve bu istikamette huzur ve sükunet bulunur."
"Harriet Woods", "Birine dayanmadan da dik durabilirsiniz. Kurbanlarınız olmadan da galip gelebilirsiniz."
"Ralph Emerson", "Kötü zamanların bilimsel bir değeri vardır. Bunlar iyi bir öğrencinin kaçırmayacağı fırsatlardır."
"", "Sizi geride tutan kim olduğunuz değil, kim olmadığınızı düşündüğünüzdür."
"Pablo Picasso", "Bütün çocuklar sanatçıdır. Sorun, büyüdükten sonra nasıl sanatçı kalacağıdır."
"Philip Sidney", "Ya bir yol bulacağım, ya da bir yol yapacağım."
"Lao Tzu", "Yeterli olanın yeterli olduğunu bilen kişi, her zaman yeterli olana sahip olacaktır."
"Ralph Emerson", "Bir arkadaşa sahip olmanın tek yolu, bir arkadaş olmaktır."
"Anne Bradstreet", "Eğer kış olmasaydı, bahar bu kadar hoş olmazdı; eğer bazen sıkıntıları tatmasaydık, refah bu kadar hoş karşılanmazdı."
"Marianne Williamson", "Neşe, her şeyin gerçekten ne kadar iyi olduğunu fark etmemize izin verdiğimizde bize olan şeydir."
"Carl Jung", "Vizyonunuz ancak kendi kalbinize bakabildiğinizde netleşecektir. Dışarıya bakan, rüya görür; içine bakan, uyanır."
"Brian Tracy", "Her şeyi yapmak için asla yeterli zaman yoktur, ama en önemli şeyi yapmak için her zaman yeterli zaman vardır."
"Marian Edelman", "Eğer yeterince önemsiyorsanız dünyayı gerçekten değiştirebilirsiniz."
"Buddha", "Ne iseniz o oldunuz. Ne olacağın ise şimdi ne yaptığındır."
"Gordon Hinckley", "Hayatlarımız neye ve kime inandığımızın tek anlamlı ifadesidir. Ve hepimiz için tek gerçek zenginlik inancımızda yatar."
"Benjamin Haydon", "İnsan doğasında tüm kötülüklerden tüm iyilikleri çıkarma eğilimi kesinlikle vardır."
"Lao Tzu", "Ruhtaki müzik evren tarafından duyulabilir."
"John Lubbock", "Ne gördüğümüz, esas olarak ne aradığımıza bağlıdır."
"Bruce Lee", "Koşulların canı cehenneme; ben fırsatlar yaratırım."
"Ella Wilcox", "En gerçek büyüklük nazik olmakta, en gerçek bilgelik mutlu bir zihinde yatar."
"John Junor", "Bir ons duygu, bir ton gerçeğe eşittir."
"Barbara De Angelis", "Kendimizi yeniden keşfetmek ve hayatımızı özgünlükle yaşamak istiyorsak, bize hizmet etmeyen şeylere ve insanlara HAYIR diyecek cesareti bulmalıyız."
"Lazurus Long", "Başlama sanatı büyüktür, ama bitirme sanatı daha büyüktür."
"Wayne Dyer", "Basitçe söylemek gerekirse, bir şeylerin ya da insanların sizi mutsuz ettiğine inanırsınız, ancak bu doğru değildir. Kendinizi mutsuz edersiniz."
"Maya Angelou", "Siz yapmadığınız sürece hiçbir şey işe yaramayacaktır."
"Catherine Pulsifer", "Mutluluğa ve başarıya ulaşma yeteneğimiz kanatlarımızın gücüne bağlıdır."
"Theodore H. White", "Arkadaşlarınızın, her gün gördüğünüz insanların çoğunun baskın düşüncesine karşı çıkmak, belki de yapabileceğiniz en zor kahramanlık eylemidir."
"Melody Beattie", "Minnettarlık geçmişimizi anlamlandırır, bugün için huzur getirir ve yarın için bir vizyon yaratır."
"Byron Pulsifer", "Her hayata yağmur yağmalıdır, ancak yağmur hayat veren olabilir ve yağmurun güneş ışığı üretmesini sağlayan şey sizin tutumunuzdur."
"Harold Nicolson", "Hepimiz kendimizi ideallerimizle, başkalarını ise eylemleriyle yargılamaya meyilliyiz."
"Rodin", "Deneyimi akıllıca kullanırsanız hiçbir şey zaman kaybı değildir."
"Aristoteles", "Eğer bir yol diğerinden daha iyiyse, emin olun ki o yol doğanın yoludur."
"Napoleon Hill", "Kazanmak için sahip olunması gereken tek bir nitelik vardır, o da amacın kesinliği, ne istediğini bilmek ve ona sahip olmak için yanıp tutuşmaktır."
"William Shakespeare", "Kaderimiz yıldızlarda değil, kendimizdedir."
"Tony Robbins", "Karar verme gücünü kullanmak, hayatınızın herhangi bir bölümünü bir anda değiştirmek için her türlü bahaneyi aşma kapasitesi verir."
"Abraham Lincoln", "Hazırlanacağım ve bir gün şansım dönecek."
"Tom Jackson", "Bazen bize dağıtılan kartlar her zaman adil değildir. Ancak gülümsemeye ve yolunuza devam etmeye devam etmelisiniz."
"Arnold Schwarzenegger", "Güç kazanmaktan gelmez. Mücadeleleriniz güçlü yanlarınızı geliştirir. Zorluklardan geçtiğinizde ve teslim olmamaya karar verdiğinizde, işte bu güçtür."
"Arnold Schwarzenegger", "Benim için hayat sürekli aç olmaktır. Hayatın anlamı sadece var olmak, hayatta kalmak değil, ilerlemek, yükselmek, başarmak, fethetmektir."
"Arnold Schwarzenegger", "Üzerinde Guess yazan bir sweatshirt giyen bir kadın gördüm. Tiroid problemi mi var dedim."
"Arnold Schwarzenegger", "Vücut geliştirme diğer sporlara çok benzer. Başarılı olmak için kendinizi %100 antrenmanınıza, diyetinize ve zihinsel yaklaşımınıza adamalısınız."
"Arnold Schwarzenegger", "Çok basit, eğer sallanıyorsa, yağdır."
"Arnold Schwarzenegger", "Spor salonunda fiziksel olarak savaştığınız direnç ve hayatta savaştığınız direnç sadece güçlü bir karakter inşa edebilir."
"Arnold Schwarzenegger", "Sınır zihindir. Zihin bir şeyi yapabileceğinizi hayal edebildiği sürece, bunu yapabilirsiniz, yeter ki gerçekten yüzde 100 inanın."
"Arnold Schwarzenegger", "Son üç ya da dört tekrar kasların büyümesini sağlayan şeydir. Bu acı alanı, şampiyonu şampiyon olmayan bir başkasından ayırır. Çoğu insanda eksik olan şey budur, devam edecek ve ne olursa olsun acıya katlanacağını söyleyecek cesarete sahip olmak."
"Arnold Schwarzenegger", "Başkalarına yardım edin ve bir şeyler verin. Kamu hizmetinin çevrenizdeki yaşamları ve dünyayı iyileştirirken, en büyük ödülünün kendi yaşamınıza getireceği zenginlik ve yeni anlam olduğunu keşfedeceğinizi garanti ederim."
"Arnold Schwarzenegger", "Karşı karşıya olduğumuz şey aşılmaz görünebilir. Ama ben onca yıllık antrenman ve yarışmadan bir şeyler öğrendim. Bir gram daha ağırlık kaldıramayacağımı düşündüğüm onca set ve tekrardan bir şey öğrendim. Öğrendiğim şey, her zaman bildiğimizden daha güçlü olduğumuzdur."
"Arnold Schwarzenegger", "Gelecek yeşil enerji, sürdürülebilirlik, yenilenebilir enerji."
"Arnold Schwarzenegger", "Olabileceğim en kötü şey herkesle aynı olmak. Bundan nefret ediyorum."
"Arnold Schwarzenegger", "Başarısızlık bir seçenek değildir. Herkes başarılı olmak zorundadır."
"Arnold Schwarzenegger", "Geniş başla, daha da genişle ve asla arkana bakma."
"Arnold Schwarzenegger", "Antrenman bize stresin yarattığı bastırılmış enerjiler için bir çıkış yolu sağlar ve böylece egzersizin vücudu şekillendirdiği gibi ruhu da şekillendirir."
"Arnold Schwarzenegger", "Vücudum kahvaltı, öğle yemeği ve akşam yemeği gibidir. Düşünmem, sadece sahip olurum."
"Arnold Schwarzenegger", "Fikirlerinizi memnuniyetle karşılıyor ve arıyorum, ancak bana küçük fikirler getirmeyin; bana geleceğimize uygun büyük fikirler getirin."
"Arnold Schwarzenegger", "Yaşadığım sürece, 21 yıl önce elimi kaldırıp vatandaşlık yemini ettiğim o günü asla unutmayacağım. Ne kadar gurur duyduğumu biliyor musunuz? O kadar gururluydum ki bütün gün omuzlarımda Amerikan bayrağıyla dolaştım."
"Arnold Schwarzenegger", "Kaslarımı sadece bir sohbet unsuru olarak kullanıyorum, tıpkı 42. Cadde'de çita gibi yürüyen biri gibi."
"Arnold Schwarzenegger", "Bildiğiniz gibi ben bir göçmenim. Buraya bir göçmen olarak geldim ve bana fırsatlar sunan, bugün burada olmamı sağlayan şey Amerikalıların açık kollarıdır. Ben kabul edildim. Amerika tarafından kabul edildim."
"Arnold Schwarzenegger", "Toplumumuzda engelleri yıkan kadınlar, sınırları görmezden gelenlerdir."
"Arnold Schwarzenegger", "Öğrenilmiş çaresizlik, pes etme tepkisidir, ne yaparsanız yapın önemli olmadığı inancından kaynaklanan pes etme tepkisidir."
"Arnold Schwarzenegger", "Kendi hayallerim neyse ki bu büyük eyalette gerçekleşti. Bay Kainat oldum; başarılı bir iş adamı oldum. Ve bazı insanlar hala hafif bir aksanla konuştuğumu söylese de, oyunculuk mesleğinin zirvesine ulaştım."
